x y z
-132.269084 -78.194608 136.782774
-132.269084 -75.682571 138.312444
-132.269084 -73.170534 143.198320
-132.269084 -70.658497 130.696526
-132.269084 -68.146460 129.041257
-132.269084 -65.634423 137.678934
-132.269084 -63.122386 138.806347
-132.269084 -60.610349 124.449918
-132.269084 -58.098312 132.345344
-132.269084 -55.586275 129.380791
-132.269084 -53.074239 125.667316
-132.269084 -50.562202 127.829384
-132.269084 -48.050165 123.863211
-132.269084 -45.538128 119.853395
-132.269084 -43.026091 117.432672
-132.269084 -40.514054 117.006650
-132.269084 -38.002017 115.094653
-132.269084 -35.489980 113.343597
-132.269084 -32.977943 111.795825
-132.269084 -30.465906 107.031315
-132.269084 -27.953869 106.285491
-132.269084 -25.441833 99.863370
-132.269084 -22.929796 99.155108
-132.269084 -20.417759 96.860600
-132.269084 -17.905722 96.989539
-132.269084 -15.393685 98.969117
-132.269084 -12.881648 98.197512
-132.269084 -10.369611 97.978082
-132.269084 -7.857574 95.685604
-132.269084 -5.345537 100.491235
-132.269084 -2.833500 111.980470
-132.269084 -0.321463 91.744390
-132.269084 2.190573 93.717379
-132.269084 4.702610 76.825138
-132.269084 7.214647 76.405789
-132.269084 9.726684 77.372903
-132.269084 12.238721 77.813536
-132.269084 14.750758 78.997000
-132.269084 17.262795 83.184230
-132.269084 19.774832 84.056038
-132.269084 22.286869 73.792584
-132.269084 24.798906 85.943262
-132.269084 27.310943 82.902889
-132.269084 29.822980 68.307065
-132.269084 32.335016 67.386536
-132.269084 34.847053 65.678302
-132.269084 37.359090 64.269251
-132.269084 39.871127 62.779335
-132.269084 42.383164 61.173917
-132.269084 44.895201 65.926101
-132.269084 47.407238 62.588628
-132.269084 49.919275 59.770205
-132.269084 52.431312 60.074997
-132.269084 54.943349 68.120714
-132.269084 57.455386 66.634718
-132.269084 59.967422 65.155458
-132.269084 62.479459 63.290801
-132.269084 64.991496 60.504847
-132.269084 67.503533 61.048604
-132.269084 70.015570 59.240880
-132.269084 72.527607 57.723171
-132.269084 75.039644 54.954600
-132.269084 77.551681 53.486500
-132.269084 80.063718 52.073367
-132.269084 82.575755 52.901742
-132.269084 85.087792 45.520893
-132.269084 87.599829 45.666529
-132.269084 90.111865 46.172084
-132.269084 92.623902 39.692966
-132.269084 95.135939 36.344920
-132.269084 97.647976 43.377922
-132.269084 100.160013 36.694101
-132.269084 102.672050 35.397965
-132.269084 105.184087 38.788349
-132.269084 107.696124 34.279014
-132.269084 110.208161 35.015674
-132.269084 112.720198 32.843828
-132.269084 115.232235 31.550972
-132.269084 117.744271 28.686958
-132.269084 120.256308 32.001150
-132.269084 122.768345 30.434163
-132.269084 125.280382 28.985200
-132.269084 127.792419 27.531597
-132.269084 130.304456 26.078075
-132.269084 132.816493 24.623753
-132.269084 135.328530 23.172296
-132.269084 137.840567 21.710290
-132.269084 140.352604 20.287579
-132.269084 142.864641 20.979827
-132.269084 145.376677 18.988072
-132.269084 147.888714 19.287927
-132.269084 150.400751 17.881192
-132.269084 152.912788 18.031116
-132.269084 155.424825 16.779033
-132.269084 157.936862 15.291011
-132.269084 160.448899 13.835406
-129.541915 -78.194608 138.869776
-129.541915 -75.682571 140.098500
-129.541915 -73.170534 142.197298
-129.541915 -70.658497 140.437635
-129.541915 -68.146460 140.174782
-129.541915 -65.634423 137.586429
-129.541915 -63.122386 139.068824
-129.541915 -60.610349 121.354847
-129.541915 -58.098312 126.822597
-129.541915 -55.586275 115.591334
-129.541915 -53.074239 121.191490
-129.541915 -50.562202 126.388414
-129.541915 -48.050165 119.439349
-129.541915 -45.538128 124.146885
-129.541915 -43.026091 111.018849
